key,event,time
h,down,0.00
e,down,109.00
h,up,114.20
e,up,250.90
l,down,1199.80
l,up,1286.70
l,down,1364.40
l,up,1459.80
o,down,2018.20
o,up,2101.40
w,down,2463.90
w,up,2606.90
o,down,2745.10
o,up,2824.90
r,down,2970.70
r,up,3057.90
l,down,3224.40
l,up,3327.70
d,down,3476.80
d,up,3612.20
