key,event,time
h,down,0.00
h,up,91.50
e,down,102.20
e,up,197.90
l,down,1155.50
l,up,1236.60
l,down,1391.50
l,up,1496.90
o,down,1886.80
o,up,2021.90
w,down,2805.80
w,up,2955.30
o,down,3126.70
o,up,3317.10
r,down,3319.90
r,up,3424.00
l,down,3554.50
d,down,3700.40
