key,event,time
h,down,0.00
e,down,136.20
h,up,180.90
e,up,291.00
l,down,1212.10
l,up,1479.10
l,down,2727.10
l,up,2849.50
o,down,3383.00
o,up,3478.90
w,down,3848.00
w,up,4030.60
o,down,4115.70
o,up,4310.80
r,down,4329.20
r,up,4439.70
l,down,4561.90
l,up,4718.70
d,down,4735.90
