key,event,time
h,down,0.20
h,up,127.90
e,down,3896.60
e,up,4047.60
l,down,4989.00
l,up,5091.20
o,down,5904.50
o,up,6060.30
w,down,9601.80
w,up,9769.70
o,down,10411.00
o,up,10597.10
r,down,10839.60
r,up,11007.20
l,down,11453.60
l,up,11613.20
d,down,11957.60
d,up,12133.20
s,down,12836.20
s,up,13003.30
