key,event,time
h,down,0.00
e,down,78.60
h,up,87.10
e,up,228.30
l,down,683.30
l,up,795.30
l,down,929.30
l,up,1041.90
o,down,1348.00
o,up,1467.70
 ,down,2156.20
 ,up,2235.70
w,down,2375.40
w,up,2519.50
o,down,2599.30
o,up,2695.70
r,down,2806.00
r,up,2895.70
l,down,3047.70
l,up,3142.90
d,down,3155.90
d,up,3312.80
