key,event,time
h,down,0.00
h,up,121.50
e,down,1188.10
e,up,1311.10
l,down,1794.00
l,up,1920.70
l,down,2065.50
l,up,2172.70
o,down,3013.30
o,up,3096.40
w,down,5074.40
w,up,5209.30
o,down,6292.90
o,up,6386.80
r,down,7287.70
r,up,7405.90
l,down,8194.40
l,up,8321.70
d,down,8779.30
d,up,8944.30
