key,event,time
h,down,0.00
h,up,173.40
e,down,350.40
e,up,501.80
l,down,1419.70
l,up,1568.90
o,down,2228.60
o,up,2355.40
 ,down,3388.90
 ,up,3500.20
w,down,3708.40
w,up,3875.70
o,down,4103.50
o,up,4223.10
r,down,4469.60
r,up,4607.40
l,down,4762.00
l,up,4885.00
d,down,5022.50
d,up,5178.50
