key,event,time
h,down,0.00
h,up,108.10
e,down,130.60
e,up,285.50
l,down,520.40
l,up,626.40
l,down,753.10
l,up,866.10
o,down,1249.90
o,up,1355.10
 ,down,1972.50
 ,up,2086.70
w,down,2216.40
w,up,2377.00
o,down,3470.50
o,up,3589.10
r,down,3641.00
r,up,3748.80
l,down,3964.70
l,up,4124.70
d,down,4204.70
d,up,4340.60
