key,event,time
h,down,0.00
h,up,171.10
e,down,280.00
e,up,442.10
l,down,1964.30
l,up,2059.60
l,down,2164.80
l,up,2253.80
o,down,2534.70
o,up,2633.60
w,down,3391.70
w,up,3542.90
o,down,3671.80
o,up,3803.50
r,down,3995.10
r,up,4105.00
l,down,4306.80
l,up,4424.00
d,down,5041.40
d,up,5175.10
