key,event,time
h,down,0.00
e,down,170.40
h,up,193.40
e,up,308.90
l,down,1202.90
l,up,1298.90
l,down,1350.30
l,up,1457.50
o,down,2908.60
o,up,3036.50
w,down,3604.20
w,up,3776.60
o,down,3911.90
o,up,4092.60
r,down,4275.60
r,up,4410.10
l,down,4582.50
l,up,4774.20
d,down,4921.60
d,up,5170.00
