key,event,time
h,down,0.00
h,up,146.40
e,down,191.30
e,up,327.70
l,down,1279.00
l,up,1377.40
l,down,1463.30
l,up,1555.30
o,down,1758.30
o,up,1849.20
w,down,3195.40
w,up,3352.10
o,down,3826.30
o,up,3945.70
r,down,4190.60
r,up,4294.70
l,down,4650.60
l,up,4806.30
d,down,5045.40
d,up,5203.20
