key,event,time
h,down,0.00
h,up,64.90
e,down,142.20
e,up,225.00
l,down,425.70
l,up,492.40
l,down,551.70
l,up,624.10
o,down,796.50
o,up,879.30
w,down,2384.80
w,up,2546.10
o,down,2842.70
o,up,2954.30
r,down,3181.80
r,up,3286.30
l,down,3437.10
l,up,3556.20
d,down,3726.70
d,up,3841.70
